core, 388, 196, 0, 1, 1, -1, 0, 333333
switch1b, 0, 0, 0, 1, 1, e0, 39, 0C6666
switch1b, 0, -57, 0, 0.1, 0.1, e39, 31, CC6633
singu, 0, 130, 180, 1, 1, e31, 38, FFFF00
singu, 129.9, -0.0500000000000114, 180, 1, 1, e31, 37, FFFF00
singu, -0.0500000000000114, -130, 180, 1, 1, e31, 36, FFFF00
singu, -130.05, 0.0999999999999943, 180, 1, 1, e31, 35, FFFF00
singu, -0.0500000000000114, 0.0999999999999943, 180, 1, 1, e31, 34, FFFF00
tube, -0.0500000000000114, -9.90000000000001, -90, 0.8, 0.5, e31, 33, FFFFFF
rhombus, -0.0500000000000114, -36.95, -114, 0.6, 0.6, e31, 32, FF0000
smallbox, -15, 72, 90, 1, 1, e0, 27, FF0033
square, 0, 40, 0, 1, 1, e27, 29, 666666
smallbox, 16, 72, 90, 1, 1, e0, 26, FF0000
square, 0, 40, 0, 1, 1, e26, 28, 666666
rightTri, -33, 22, 0, 1, 1, e0, 2, 333333
rect, -27, 34, 0, -1, 1, e2, 6, FFFFFF
rect, -30, -30, 0, -1, 1, e6, 19, FFFFFF
rect, -27, -26, 0, 1, 1, e2, 5, FFFFFF
single, -30, 0, 180, 1, 1, e5, 22, 666666
rect, -30, -30, 0, 1, 1, e5, 7, FFFFFF
rect, 30, -30, 0, 1, 1, e7, 8, FFFFFF
single, -30, 0, -177, 1, 1, e8, 21, 666666
rect, 30, -30, 0, 1, 1, e8, 11, FFFFFF
single, 0, -30, 178, 1, 1, e11, 23, 666666
rect, -30, -30, 0, 1, 1, e11, 10, FFFFFF
rect, -30, -30, 0, 1, 1, e8, 9, FFFFFF
rightTri, 33, 22, 0, -1, 1, e0, 1, 333333
rect, 27, -26, 0, -1, 1, e1, 3, FFFFFF
single, 30, 0, -180, 1, 1, e3, 24, 666666
rect, 30, 30, 0, 1, 1, e3, 18, FFFFFF
rect, -30, 30, 0, 1, 1, e18, 17, FFFFFF
rect, 30, -30, 0, -1, 1, e3, 4, FFFFFF
rect, -30, -30, 0, 1, 1, e4, 16, FFFFFF
single, 30, 0, 177, 1, 1, e16, 20, 666666
rect, 30, -30, 0, 1, 1, e16, 15, FFFFFF
rect, -30, -30, 0, 1, 1, e15, 14, FFFFFF
rect, -30, -30, 0, 1, 1, e16, 13, FFFFFF
single, 0, -30, -178, 1, 1, e13, 25, 666666
rect, -30, -30, 0, 1, 1, e13, 12, FFFFFF
