core, 400, 300, 0, 0.5, 0.5, -1, 0, 0066FF
c, 1, -3, 0, 0, 0, e0, 8, FF0000
switch1b, 200, 200, 0, 1, 1, e0, 4, 0C6666
switch1b, -200, 200, 0, 1, 1, e0, 3, 0C6666
switch1b, 200, -200, 0, 1, 1, e0, 2, 0C6666
switch1b, -200, -200, 0, 1, 1, e0, 1, 0C6666

switch2b, 0, 0, 0, 2, 2, e1, 9, 952966
switch2b, 0, 0, 0, 2, 2, e2, 5, 952966
switch2b, 0, 0, 0, 2, 2, e3, 7, 952966
switch2b, 0, 0, 0, 2, 2, e4, 6, 952966

switch2b, 0, 0, 0, 2, 2, e3, 12, 952966
switch2b, 0, 0, 0, 2, 2, e2, 13, 952966
switch2b, 0, 0, 0, 2, 2, e4, 14, 952966
